French,English
Classe GL,GL Class
-- Sélectionnez la classe GL --,-- Select GL Class --
La Succursale Spécifique,Branch Specific
Devises,Currencies
Devises du Plan comptable,Chart of Account Currencies
Identification de DEVISE,Currency ID
Nom de la Devise,Currency Name
Plan comptable personnalisé,Custom Chart of Accounts
ID de COMPTE,Account ID
Code de Devise,Currency Code
Espace réservé,Placeholder
C'EST UN COMPTE NOSTRO,ISNOSTROACCOUNT
Enregistrez,Save
BIENVENUE AU MODULE DE DÉFINITION DE PRODUIT,WELCOME TO PRODUCT DEFINITION MODULE
Cliquez,Click
CHOISISSEZ UN GROUPE DE PRODUITS,CHOOSE PRODUCT GROUP
CHOISISSEZ LE TYPE DE PRODUIT,CHOOSE PRODUCT TYPE
DÉTAILS DU PRODUIT,PRODUCT DETAILS
La Classe De Client,Customer Class
Sélectionnez la Classe de Client,Select Customer Class
Fournissez Le Nom du Produit,Provide Product Name
Code De Produit,Product Code
Fournissez Le Code Produit,Provide Product Code
Catégorie de Produit,Product Category
--- Sélectionnez la Catégorie de Produit ---,--- Select Product Category ---
Description du Produit,Product Description
Décrivez le produit,Describe product
--- Sélectionnez la Classe de Produit ---,--- Select Product Class ---
Base de régularisation,Accrual Basis
--- Sélectionnez Le Nombre de jours ---,--- Select Day Count ---
--- Sélectionnez la Classification des Transactions ---,--- Select Deal Classification ---
Indice des Prix des Produits,Product Price Index
--- Sélectionnez Indice Des Prix Des Produits ---,--- Select Product Price Index ---
Indice de Propagation des Produits,Product Spread Index
Type des charges à payer,Accrual Type
Autorisez le Découvert,Allow Overdraft
Calendrier De Prêt,Loan Schedule
--- Sélectionnez le Calendrier de prêt ---,--- Select Loan Schedule ---
Solde minimum,Minumum Balance
Solde d'Ouverture,Opening Balance
La Catégorie de ténor (mois),Tenor Bracket (Months)
Mininum:,Mininum:
Maximum:,Maximum:
La Catégorie de Taux (%),Rate Bracket (%)
Minimum:,Minimum:
Période De Grâce (Par Défaut),Grace Period (Default)
Jour,Days
Période de nettoyage,Clean-Up Period
Période d'expiration,Expiry Period
Autorisez le Débit Forcé du Compte Client,Allow Customer Account Force Debit
Autorisez un Moratoire,Allow Moratorium
Évaluation du produit,Product Rating
-- Sélectionnez l'évaluation du Produit --,-- Select Product Rating --
Exclure Des Litiges / Agences De Recouvrement De Créances,Exclude From Litigation/Debt Recovery Agencies
Est Produit Sur Salaire,Is Payday Product
COMPORTEMENT DU PRODUIT,PRODUCT BEHAVIOUR
Limite client,Customer Limit
Limite de garantie LCY,Collateral LCY Limit
Limite de garantie FCY,Collateral FCY Limit
Limite De Produits,Product Limit
Est Basé Sur La Facture,Is Invoice Based
Autorisez L'Utilisation du Fonds,Allow Fund Usage
Est un découvert temporaire,Is Temporary Overdraft
-- Sélectionnez le type de réglementation CRMS --,-- Select CRMS Regulatory Type --
Le Grand Livre du Solde Principal,Principal Balance Ledger
Sélectionnez Le Grand Livre du Solde Principal,--- Select Principal Balance Ledger ---
Le Grand Livre des Revenus d'Intérêts,Interest Income Ledger
Sélectionnez Le Grand Livre des Revenus d'intérêts et des dépenses,--- Select Interest Income\Expense Ledger ---
Grand Livre du Solde Principal 2,Principal Balance Ledger 2
--- Sélectionnez Le Grand Livre du Solde principal 2 ---,--- Select Principal Balance Ledger 2 ---
Grand Livre des Intérêts à Recevoir,Interest Receivable Ledger
--- Sélectionnez Le Grand Livre des Intérêts à recevoir\à payer ---,--- Select Interest Receivable\Payable Ledger ---
Le Grand Livre des Primes/Remises,Premium\Discount Ledger
Sélectionnez Le Grand Livre des Primes/Remises,--- Select Premium\Discount Ledger ---
Le Grand Livre de solde dormant,Dormant Balance Ledger
Sélectionnez le grand livre de solde dormant,--- Select Dormant Balance Ledger ---
Grand Livre à Découvert,Overdrawn Ledger
Sélectionnez Le Grand Livre à découvert,--- Select Overdrawn Ledger ---
Grand Livre des frais de pénalité,Penal Charge Ledger
Sélectionnez Le Grand Livre des frais de pénalité,--- Select Penal Charge Ledger ---
Taux des frais de pénalité,Penal Charge Rate
Utilisez par LOS,Use By LOS
DEVISES DE PRODUIT,PRODUCT CURRENCIES
Affichez les Devises Sélectionnées,View Selected Currencies
Ajoutez des Frais de produit / Garantie,Add Product Fee/ Collateral
Frais non Liés,Unmapped Fees
Nom de frais,Charge Name
Cible,Target
Fréquence,Frequency
Catégorie de Compte,Account Category
Frais Liés,Mapped Fees
Valeur,Value
Montant à charge,Dependent Amount
Sécurité Non Liée,Security Not Mapped
Garantie De La Sécurité De Nom,Collateral Security Name
Sécurité Liée,Security Mapped
Sélectionnez les Devises du Produit,Select Product Currencies
Liez Les Frais au Produit,Map Fee to Product
Nom de frais,Charge Name
Cible,Target
Catégorie,Category
Fréquence,Frequency
Valeur du taux,Rate Value
Montant à charge,Dependent Amount
Liez au produit,Map to Product
Définition du Document,Document Definition
En Cours d'Utilisation,In Use
Ajoutez une Définition de Document,Add Document Definition
La Liaison de Document  du Produit,Product Document Mapping
Nom du sous-secteur,Subsector Name
Modifiez,Edit
Supprimez,Remove
Liez À La Classe De Produit,Map To Product Class
Sélectionnez la Classe de Produit,Select Product Class
Sélectionnez la Classe de Produit,--- Select Product class ---
Liez Au Produit,Map To Product
Sélectionnez un Produit,Select Product
Sélectionnez un Produit,--- Select Product ---
Liez Au Secteur,Map To Sector
Sélectionnez un secteur,Select Sector
Sélectionnez un secteur,--- Select Sector ---
Liez Au Sous-Secteur,Map To SubSector
Sélectionnez Le Sous-Secteur,Select SubSector
--- Sélectionner un sous-secteur ---,--- Select SubSector ---
Sélectionnez une Catégorie de document,Select Document Category
--- Sélectionnez la catégorie de document ---,--- Select Document Category ---
--- Sélectionnez le Type de document ---,--- Select Document Type ---
La Liaison des Produits,Product Mapping
Article de KYC du Client,Customer KYC Item
Article de KYC,KYC Item
Ordre,Order
Obligatoire,Compulsory
Article de KYC,KYC Item
Sélectionnez un Produit,Select Product
Ordre d'Affichage,Display Order
Sélectionnez la Position,Select Position
Obligatoire,Compulsory
Vérifiez si l'élément requis est obligatoire,Check if the required item is compulsory
Titre de l'évaluation des risques,Risk Assessment Title
Titre de l'évaluation,Assessment Title
Sélectionnez le titre de l'évaluation,-- Select Assessment Title --
Indice d'Évaluation Des Risques,Risk Assessment Index
Facteurs De Haut Niveau,Top Level Factors
Poids,Weight
Titre de l'évaluation des risques,Risk Assessment Title
Nom de l'Évaluation des Risques,Risk Assessment Name
Type de Risque,Risk Type
-- Sélectionnez le Type de risque --,-- Select Risk Type --
Indice d'Évaluation Des Risques,Risk Assessment Index
-- Sélectionnez le titre --,-- Select Title --
Type d'Index,Index Type
-- Sélectionnez le type d'index --,-- Select index Type --
Niveau De L'Élément,Item Level
Sélectionnez Le Niveau,-- Select Level --
Parent,Parent
Sélectionnez le parent,-- Select Parent --
Grands livres,Ledgers
Code du Grand Livre,Ledger Code
Nom du grand livre,Ledger Name
Nom de la catégorie de compte,Account Category Name
Nom du grand livre,Ledger Name
Code du Grand Livre,Ledger Code
Catégorie de Compte,Account Category
-- Sélectionnez une catégorie --,-- Select Category --
Configuration des Modèles de Documents,Document Templates Setup
L'Identification de rôle du personnel,Staff Role ID
L'Identification d'opération,Operation ID
Section,Section
Sélectionnez le rôle du personnel,--- Select Staff Role ---
Sélectionnez l'Identification d'opération,--- Select Operation ID ---
Liste des sections,Section List
Titre,Title
Position,Position
Les rôles,Roles
Position,Postion
Pouvez Modifier,Can Edit
Remplacez le contenu dynamique par i18n,Replace dynamic content with i18n
,List of Placeholders:
,Account Numbers
,All Customer Collateral Remarks
,All Customer Facilities
Montant Décaissé,Amount Disbursed
,Amount Paid So Far
,Amount Proposed
,Annual Review Date
Approbation,Approvals
,Business Sectors
,Collateral Coverage
,Conditions Precedent To Drawdown
,Contingent Facilities
,Current Date
,Customer Exposure
,Customer Turnover
,Environmental Social Risk
,Group Exposure
,Group Facility Summary
,Group Facility Summary Fcy
,Is Security
,Mis Code
,Obligor Risk Rating
,Prepared By
,Proposed Conditions
,Recommended Interest
Type de révision,Review Type
,Security Description
,Security First Sell Value
,Security Location
,Security Open Market Value
,Security Perfection Status
,Security Valuation Date
,Share Holders
Signataire,Signatories
,Transactions Dynamics
Liste des rôles de section,Section Role List
Recherche de Configuration Réglementaire,Regulatory Setup Search
--- Sélectionnez le Type de réglementation ---,--- Select Regulatory Type ---
Type de Réglementation,Regulatory Type
Indice des Prix des Produits,Product Price Index
Durée,Duration
Autorisez la nouvelle tarification automatique,Allow Automatic Repricing
Ajoutez / Mis à Jour l'Indice des Prix,Add/Update Price Index
Nom,Name
Taux,Rate
Description,Description
Durée,Duration
Autorisez la nouvelle tarification automatique,Allow Automatic Repricing
Sélectionnez les Devises du Produit,Select Product Currencies
Ajoutez / Mis à Jour la devise de l'Indice des Prix,Add/Update Price Index Currency
Devise,Currency
-- Sélectionnez la devise --,-- Select Currency --
Modifiez le produit,Edit Product
Sélectionnez le Type de Produit,Select Product Type
Sélectionnez une catégorie,Select Category
Mois,Months
Limite de facture,Invoice Limit
Nom de frais,Charge Name
Cible,Target
Fréquence,Frequency
Catégorie de Compte,Account Category
Valeur,Value
Montant à charge,Dep Amount
Garantie De La Sécurité De Nom,Collateral Security Name
Nom de frais,Charge Name
Cible,Target
Catégorie,Category
Fréquence,Frequency
Valeur du taux,Rate Value
Montant à charge,Dependent Amount
Ajoutez des Frais de produit / Garantie,Add Product Fee / Collateral
Frais De Nom,Fee Name
Intervalle,Interval
Compte GL,GL Account
Montant à charge,Dependent Amount
Frais De Nom,Fee Name
Intervalle,Interval
Compte GL,GL Account
Villes,Cities
Classe de ville,City Class
Autorisé pour la garantie,Allowed For Collateral
État,State
Gouvernement local,Local Govt
Classe de ville,City Class
--- Sélectionnez la classe de ville ---,--- Select City Class ---
Ville,City
Permettre De Garantie,Allow For Collateral
Types de Contrats de Prêt,Loan Covenant Types
Nom du Type de Contrat,Covenant Type Name
Exiger Montant,Require Amount
Exiger une fréquence,Require Frequency
Est Le Cycle de Nettoyage,Is Cleanup Cycle
Modifiez,Edit
Le Contrat est financier,Covenant Is Financial
Fréquence Requise,Frequency Required
Cycle de nettoyage,Cleanup Cycle
Montant Requis,Amount Required
Groupes de Flux de Travail,Workflow Groups
Nom du groupe de flux de travail,Workflow Group Name
Rôle du groupe,Group Role
--- Rôle du groupe ---,--- Group Role ---
Enregistrez le groupe de flux de travail,Save Workflow Group
Légendes Des États Financiers,Financial Statement Captions
Est Dérivé,Is Derived
Légende des États Financiers,Financial Statement Caption
Nom FS,FS Name
Enregistrez la légende FS,Save FS Caption
Groupes d'états financiers des clients,Customer Financial Statement Groups
Groupe d'états financiers des nouveaux clients,New Customer Financial Statement Group
Nom du groupe de la légende FS,FS Caption Group Name
Enregistrez le groupe de légendes FS,Save FS Caption Group
Valeur De Texte,Text Value
Type De La Valeur,Value Type
Enregistrez les détails de la légende FS,Save FS Caption Detail
Légendes des ratios des états financiers,Financial Statement Ratio Captions
Légende du ratio des états financiers,Financial Statement Ratio Caption
Nom de la légende du ratio,Ratio Caption Name
Annualisé,Annualised
Enregistrer la légende du ratio FS,Save FS Ratio Caption
Détail Dérivé des États Financiers,Financial Statement Derived Detail
Légende dérivée de FS,FS Derived Caption
--- Sélectionnez Légende dérivée --,--- Select Derived Caption --
Détail Dérivé des États Financiers,Financial Statement Derived Detail
--- Sélectionnez le groupe FS -,--- Select FS Group --
--- Sélectionnez la légende FS -,--- Select FS Caption --
Type d'opération,Operation Type
--- Sélectionnez le Type de Diviseur --,--- Select Divisor Type --
Valeur / Type précédent,Value/Previous Type
--- Sélectionnez Valeur / Type précédent --,--- Select Value/Previous Type --
Multiplicateur,Multiplier
Enregistrez les détails dérivés de FS,Save FS Derived Detail
Configuration des Limites,Limits Setup
Ajoutez Une Nouvelle Définition,Add New Definition
Nouvelle Définition de Limite,New Limit Definition
Nom de la limite,Limit Name
Type de Valeur Limite,Limit Value Type
--- Sélectionnez Le Type de Valeur Limite ---,--- Select Limit Value Type ---
la métrique de limite,Limit Metric
Sélectionnez la métrique de limite,--- Select Limit Metric ---
Enregistrez la Définition de Limite,Save Limit Definition
Nouveau Détail Limite,New Limit Detail
Type de Limite,Limit Type
--- Sélectionnez le Type de limite ---,--- Select Limit Type ---
--- Sélectionnez le Type de Fréquence Limite ---,--- Select Limit Frequency Type ---
Valeur maximum,Maximum Value
Autorisez le remplacement,Allow Override
Valeur maximum,Maximum Value
Montant Maximum,Maximum Amount
Limite de PEN,PEN Limit
Enregistrez le détail de la limite,Save Limit Detail
Enregistrez Plusieurs Détails,Save Multiple Details
Configuration de la liste de contrôle,Checklist Setup
Ajoutez Un Nouvel Élément,Add New Item
Ajoutez Une Nouvelle Liaison,Add New Mapping
Type de Réponse,Response Type
Modifiez,Edit
Type de Liste de contrôle,Checklist Type
Pouvez Valider,Can Validate
Supprimez,Remove
Nom de l'élément de la liste de contrôle,Checklist Item Name
Type de réponse à la liste de contrôle,Checklist Response Type
--- Sélectionnez le Type de réponse de la Liste de contrôle ---,--- Select Checklist Response Type ---
--- Sélectionnez le Type de Liste de contrôle ---,--- Select Checklist Type ---
Exige le téléchargement de Documents,Require Document Upload
